Município;UF;TOM;Unidade Local;Delegacia;Região Fiscal;Estado;Pais
ABADIA DOS DOURADOS;MG;4001;RFB;RFB;06ª RF;MG;Brasil
ABAETE;MG;4003;RFB;RFB;06ª RF;MG;Brasil
ABRE CAMPO;MG;4005;RFB;RFB;06ª RF;MG;Brasil
ACAIACA;MG;4007;RFB;RFB;06ª RF;MG;Brasil
AGUANIL;MG;4015;RFB;RFB;06ª RF;MG;Brasil
AIMORES;MG;4021;RFB;RFB;06ª RF;MG;Brasil
AIURUOCA;MG;4023;RFB;RFB;06ª RF;MG;Brasil
ALAGOA;MG;4025;RFB;RFB;06ª RF;MG;Brasil
ALBERTINA;MG;4027;RFB;RFB;06ª RF;MG;Brasil
ALFENAS;MG;4031;RFB;RFB;06ª RF;MG;Brasil
ALFREDO VASCONCELOS;MG;2681;RFB;RFB;06ª RF;MG;Brasil
ALMENARA;MG;4033;RFB;RFB;06ª RF;MG;Brasil
ALPERCATA;MG;4035;RFB;RFB;06ª RF;MG;Brasil
ALPINOPOLIS;MG;4037;RFB;RFB;06ª RF;MG;Brasil
ALTEROSA;MG;4039;RFB;RFB;06ª RF;MG;Brasil
ALTO CAPARAO;MG;0564;RFB;RFB;06ª RF;MG;Brasil
ALTO JEQUITIBA;MG;5069;RFB;RFB;06ª RF;MG;Brasil
ALTO RIO DOCE;MG;4041;RFB;RFB;06ª RF;MG;Brasil
ALVARENGA;MG;4043;RFB;RFB;06ª RF;MG;Brasil
ALVINOPOLIS;MG;4045;RFB;RFB;06ª RF;MG;Brasil
ALVORADA DE MINAS;MG;4047;RFB;RFB;06ª RF;MG;Brasil
ALEM PARAIBA;MG;4029;RFB;RFB;06ª RF;MG;Brasil
AMPARO DA SERRA;MG;4049;RFB;RFB;06ª RF;MG;Brasil
ANDRADAS;MG;4051;RFB;RFB;06ª RF;MG;Brasil
ANDRELANDIA;MG;4055;RFB;RFB;06ª RF;MG;Brasil
ANGELANDIA;MG;0566;RFB;RFB;06ª RF;MG;Brasil
ANTONIO CARLOS;MG;4057;RFB;RFB;06ª RF;MG;Brasil
ANTONIO DIAS;MG;4059;RFB;RFB;06ª RF;MG;Brasil
ANTONIO PRADO DE MINAS;MG;4061;RFB;RFB;06ª RF;MG;Brasil
ARACITABA;MG;4065;RFB;RFB;06ª RF;MG;Brasil
ARAGUARI;MG;4069;RFB;RFB;06ª RF;MG;Brasil
ARANTINA;MG;4071;RFB;RFB;06ª RF;MG;Brasil
ARAPONGA;MG;4073;RFB;RFB;06ª RF;MG;Brasil
ARAPORA;MG;2903;RFB;RFB;06ª RF;MG;Brasil
ARAPUA;MG;4075;RFB;RFB;06ª RF;MG;Brasil
ARAXA;MG;4079;RFB;RFB;06ª RF;MG;Brasil
ARACAI;MG;4063;RFB;RFB;06ª RF;MG;Brasil
ARACUAI;MG;4067;RFB;RFB;06ª RF;MG;Brasil
ARAUJOS;MG;4077;RFB;RFB;06ª RF;MG;Brasil
ARCEBURGO;MG;4081;RFB;RFB;06ª RF;MG;Brasil
ARCOS;MG;4083;RFB;RFB;06ª RF;MG;Brasil
AREADO;MG;4085;RFB;RFB;06ª RF;MG;Brasil
ARGIRITA;MG;4087;RFB;RFB;06ª RF;MG;Brasil
ARICANDUVA;MG;0568;RFB;RFB;06ª RF;MG;Brasil
ARINOS;MG;4089;RFB;RFB;06ª RF;MG;Brasil
