Município;UF;TOM;Unidade Local;Delegacia;Região Fiscal;Estado;Pais
ABAIRA;BA;3301;ARF - SEABRA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
ABARE;BA;3303;ARF - PAULO AFONSO (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
ACAJUTIBA;BA;3305;ARF - ALAGOINHAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
ADUSTINA;BA;3253;ARF - PAULO AFONSO (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
AGUA FRIA;BA;3307;ARF - ALAGOINHAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
AIQUARA;BA;3311;ARF - JEQUIÉ (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
ALAGOINHAS;BA;3313;ARF - ALAGOINHAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
ALCOBACA;BA;3315;ARF - TEIXEIRA DE FREITAS (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
ALMADINA;BA;3317;ARF - ITABUNA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
AMARGOSA;BA;3319;ARF - SANTO ANTÔNIO DE JESUS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
AMELIA RODRIGUES;BA;3321;DRF - FEIRA DE SANTANA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
AMERICA DOURADA;BA;3071;ARF - IRECÊ (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
AMPARO DE SAO FRANCISCO;SE;3101;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
ANAGE;BA;3323;DRF - VITÓRIA DA CONQUISTA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
ANDARAI;BA;3325;ARF - SEABRA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
ANDORINHA;BA;3255;ARF - EUCLIDES DA CUNHA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
ANGICAL;BA;3327;ARF - BARREIRAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
ANGUERA;BA;3329;DRF - FEIRA DE SANTANA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
ANTAS;BA;3331;ARF - PAULO AFONSO (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
ANTONIO CARDOSO;BA;3333;DRF - FEIRA DE SANTANA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
ANTONIO GONCALVES;BA;3335;ARF - JACOBINA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
APORA;BA;3337;ARF - ALAGOINHAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
APUAREMA;BA;3257;ARF - JEQUIÉ (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
AQUIDABA;SE;3103;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
ARACAJU;SE;3105;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
ARACAS;BA;3259;ARF - ALAGOINHAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
ARACATU;BA;3339;DRF - VITÓRIA DA CONQUISTA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
ARACI;BA;3341;DRF - FEIRA DE SANTANA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
ARAMARI;BA;3343;ARF - ALAGOINHAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
ARATACA;BA;3073;ARF - ITABUNA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
ARATUIPE;BA;3345;ARF - SANTO ANTÔNIO DE JESUS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
ARAUA;SE;3107;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
AREIA BRANCA;SE;3109;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
AURELINO LEAL;BA;3347;ARF - ITABUNA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
BAIANOPOLIS;BA;3349;ARF - BARREIRAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
BAIXA GRANDE;BA;3351;DRF - FEIRA DE SANTANA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
BANZAE;BA;3261;ARF - EUCLIDES DA CUNHA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
BARRA;BA;3353;ARF - IRECÊ (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
BARRA DA ESTIVA;BA;3355;DRF - VITÓRIA DA CONQUISTA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
BARRA DO CHOCA;BA;3357;DRF - VITÓRIA DA CONQUISTA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
BARRA DO MENDES;BA;3359;ARF - IRECÊ (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
BARRA DO ROCHA;BA;3361;ARF - JEQUIÉ (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
BARRA DOS COQUEIROS;SE;3111;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
BARREIRAS;BA;3363;ARF - BARREIRAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
BARRO ALTO;BA;3075;ARF - IRECÊ (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
BARRO PRETO;BA;3365;ARF - ITABUNA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
BARROCAS;BA;1110;DRF - FEIRA DE SANTANA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
BELMONTE;BA;3367;IRF - PORTO SEGURO (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
BELO CAMPO;BA;3369;DRF - VITÓRIA DA CONQUISTA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
BIRITINGA;BA;3371;ARF - ALAGOINHAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
BOA NOVA;BA;3373;ARF - JEQUIÉ (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
BOA VISTA DO TUPIM;BA;3375;ARF - SEABRA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
BOM JESUS DA LAPA;BA;3377;ARF - BOM JESUS DA LAPA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
BOM JESUS DA SERRA;BA;3263;DRF - VITÓRIA DA CONQUISTA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
BONINAL;BA;3379;ARF - SEABRA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
BONITO;BA;3265;ARF - IRECÊ (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
BOQUIM;SE;3115;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
BOQUIRA;BA;3381;ARF - SEABRA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
BOTUPORA;BA;3383;ARF - GUANAMBI (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
BREJO GRANDE;SE;3113;DRF - ARACAJU (SE);DRF - ARACAJU (SE);5ª RF;Sergipe;Brasil
BREJOES;BA;3385;ARF - SANTO ANTÔNIO DE JESUS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
BREJOLANDIA;BA;3387;ARF - BARREIRAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
BROTAS DE MACAUBAS;BA;3389;ARF - SEABRA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
BRUMADO;BA;3391;DRF - VITÓRIA DA CONQUISTA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
BUERAREMA;BA;3393;ARF - ITABUNA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
BURITIRAMA;BA;3079;ARF - BARREIRAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
CAATIBA;BA;3395;ARF - ITAPETINGA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
CABACEIRAS DO PARAGUACU;BA;3267;ARF - CRUZ DAS ALMAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
CACHOEIRA;BA;3397;ARF - CRUZ DAS ALMAS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
CACULE;BA;3399;ARF - GUANAMBI (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
CAEM;BA;3401;ARF - JACOBINA (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
CAETANOS;BA;3269;DRF - VITÓRIA DA CONQUISTA (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
CAETITE;BA;3403;ARF - GUANAMBI (BA);DRF - VITÓRIA DA CONQUISTA (BA);5ª RF;Bahia;Brasil
CAFARNAUM;BA;3405;ARF - IRECÊ (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
CAIRU;BA;3407;ARF - SANTO ANTÔNIO DE JESUS (BA);DRF - FEIRA DE SANTANA (BA);5ª RF;Bahia;Brasil
