Município;Total;UF;Data
ADUSTINA;1;BA;13/03/2021
AGUA FRIA;8;BA;13/03/2021
AIQUARA;6;BA;13/03/2021
ALAGOINHAS;155;BA;13/03/2021
ALCOBACA;1;BA;13/03/2021
ALMADINA;1;BA;13/03/2021
AMARGOSA;8;BA;13/03/2021
AMELIA RODRIGUES;12;BA;13/03/2021
AMERICA DOURADA;3;BA;13/03/2021
ANAGE;1;BA;13/03/2021
ANDARAI;1;BA;13/03/2021
ANDORINHA;7;BA;13/03/2021
ANGICAL;4;BA;13/03/2021
ANTAS;6;BA;13/03/2021
APORA;5;BA;13/03/2021
ARACAS;6;BA;13/03/2021
ARACI;21;BA;13/03/2021
ARATACA;1;BA;13/03/2021
ARATUIPE;3;BA;13/03/2021
AURELINO LEAL;1;BA;13/03/2021
BAIANOPOLIS;1;BA;13/03/2021
BAIXA GRANDE;1;BA;13/03/2021
BARRA;24;BA;13/03/2021
BARRA DA ESTIVA;2;BA;13/03/2021
BARRA DO CHOCA;2;BA;13/03/2021
BARRA DO MENDES;5;BA;13/03/2021
BARRA DO ROCHA;2;BA;13/03/2021
BARREIRAS;85;BA;13/03/2021
BARROCAS;3;BA;13/03/2021
BELMONTE;4;BA;13/03/2021
BELO CAMPO;3;BA;13/03/2021
BIRITINGA;5;BA;13/03/2021
BOA NOVA;2;BA;13/03/2021
BOM JESUS DA LAPA;16;BA;13/03/2021
BOM JESUS DA SERRA;3;BA;13/03/2021
BONINAL;4;BA;13/03/2021
BONITO;1;BA;13/03/2021
BOQUIRA;1;BA;13/03/2021
BOTUPORA;1;BA;13/03/2021
BREJOES;1;BA;13/03/2021
BROTAS DE MACAUBAS;6;BA;13/03/2021
BRUMADO;18;BA;13/03/2021
BUERAREMA;10;BA;13/03/2021
BURITIRAMA;3;BA;13/03/2021
CABACEIRAS DO PARAGUACU;2;BA;13/03/2021
CACHOEIRA;8;BA;13/03/2021
CACULE;1;BA;13/03/2021
CAEM;2;BA;13/03/2021
CAETANOS;4;BA;13/03/2021
CAETITE;14;BA;13/03/2021
CAFARNAUM;9;BA;13/03/2021
CAIRU;1;BA;13/03/2021
CALDEIRAO GRANDE;2;BA;13/03/2021
CAMACARI;374;BA;13/03/2021
CAMAMU;2;BA;13/03/2021
CAMPO ALEGRE DE LOURDES;5;BA;13/03/2021
CAMPO FORMOSO;14;BA;13/03/2021
CANARANA;2;BA;13/03/2021
CANAVIEIRAS;3;BA;13/03/2021
CANDEIAS;105;BA;13/03/2021
CANDIBA;2;BA;13/03/2021
CANDIDO SALES;2;BA;13/03/2021
CANSANCAO;12;BA;13/03/2021
CANUDOS;1;BA;13/03/2021
CAPELA DO ALTO ALEGRE;1;BA;13/03/2021
CAPIM GROSSO;12;BA;13/03/2021
CARAIBAS;2;BA;13/03/2021
CARAVELAS;11;BA;13/03/2021
CARDEAL DA SILVA;3;BA;13/03/2021
CASA NOVA;18;BA;13/03/2021
CASTRO ALVES;2;BA;13/03/2021
CATU;49;BA;13/03/2021
CENTRAL;3;BA;13/03/2021
CICERO DANTAS;2;BA;13/03/2021
CIPO;6;BA;13/03/2021
COARACI;7;BA;13/03/2021
COCOS;4;BA;13/03/2021
CONCEICAO DA FEIRA;6;BA;13/03/2021
CONCEICAO DO ALMEIDA;4;BA;13/03/2021
CONCEICAO DO COITE;19;BA;13/03/2021
CONCEICAO DO JACUIPE;8;BA;13/03/2021
CONDE;10;BA;13/03/2021
CONDEUBA;3;BA;13/03/2021
CONTENDAS DO SINCORA;8;BA;13/03/2021
CORACAO DE MARIA;1;BA;13/03/2021
CORONEL JOAO SA;2;BA;13/03/2021
CORRENTINA;12;BA;13/03/2021
COTEGIPE;8;BA;13/03/2021
CRISOPOLIS;5;BA;13/03/2021
CRUZ DAS ALMAS;13;BA;13/03/2021
CURACA;11;BA;13/03/2021
DARIO MEIRA;4;BA;13/03/2021
DIAS D'AVILA;93;BA;13/03/2021
ELISIO MEDRADO;2;BA;13/03/2021
ENCRUZILHADA;1;BA;13/03/2021
ENTRE RIOS;23;BA;13/03/2021
ESPLANADA;7;BA;13/03/2021
EUCLIDES DA CUNHA;9;BA;13/03/2021
EUNAPOLIS;39;BA;13/03/2021
FEIRA DE SANTANA;359;BA;13/03/2021
FILADELFIA;2;BA;13/03/2021
FLORESTA AZUL;1;BA;13/03/2021
FORMOSA DO RIO PRETO;17;BA;13/03/2021
GANDU;4;BA;13/03/2021
GENTIO DO OURO;3;BA;13/03/2021
GLORIA;1;BA;13/03/2021
GOVERNADOR MANGABEIRA;6;BA;13/03/2021
GUAJERU;1;BA;13/03/2021
GUANAMBI;17;BA;13/03/2021
GUARATINGA;1;BA;13/03/2021
HELIOPOLIS;1;BA;13/03/2021
IACU;7;BA;13/03/2021
IBIASSUCE;1;BA;13/03/2021
IBICARAI;4;BA;13/03/2021
IBICOARA;7;BA;13/03/2021
IBICUI;1;BA;13/03/2021
IBIPEBA;3;BA;13/03/2021
IBIRAPITANGA;4;BA;13/03/2021
IBIRAPUA;57;BA;13/03/2021
IBIRATAIA;4;BA;13/03/2021
IBITIARA;2;BA;13/03/2021
IBITITA;3;BA;13/03/2021
IBOTIRAMA;4;BA;13/03/2021
ICHU;2;BA;13/03/2021
IGRAPIUNA;1;BA;13/03/2021
ILHEUS;109;BA;13/03/2021
INHAMBUPE;10;BA;13/03/2021
IPIAU;22;BA;13/03/2021
IPIRA;6;BA;13/03/2021
IRAJUBA;2;BA;13/03/2021
IRAMAIA;4;BA;13/03/2021
IRAQUARA;2;BA;13/03/2021
IRARA;13;BA;13/03/2021
IRECE;22;BA;13/03/2021
ITABELA;5;BA;13/03/2021
ITABERABA;14;BA;13/03/2021
ITABUNA;99;BA;13/03/2021
ITACARE;8;BA;13/03/2021
ITAETE;3;BA;13/03/2021
ITAGI;13;BA;13/03/2021
ITAGIBA;11;BA;13/03/2021
ITAGIMIRIM;5;BA;13/03/2021
ITAGUACU DA BAHIA;13;BA;13/03/2021
ITAJU DO COLONIA;2;BA;13/03/2021
ITAJUIPE;5;BA;13/03/2021
ITAMARAJU;5;BA;13/03/2021
ITAMARI;5;BA;13/03/2021
ITAMBE;6;BA;13/03/2021
ITANAGRA;2;BA;13/03/2021
ITAPARICA;14;BA;13/03/2021
ITAPE;5;BA;13/03/2021
ITAPEBI;3;BA;13/03/2021
ITAPETINGA;27;BA;13/03/2021
ITAPICURU;1;BA;13/03/2021
ITAPITANGA;1;BA;13/03/2021
ITARANTIM;1;BA;13/03/2021
ITATIM;1;BA;13/03/2021
ITIRUCU;1;BA;13/03/2021
ITIUBA;6;BA;13/03/2021
ITORORO;5;BA;13/03/2021
ITUACU;4;BA;13/03/2021
ITUBERA;7;BA;13/03/2021
IUIU;14;BA;13/03/2021
JABORANDI;3;BA;13/03/2021
JACOBINA;33;BA;13/03/2021
JAGUAQUARA;5;BA;13/03/2021
JAGUARARI;12;BA;13/03/2021
JANDAIRA;1;BA;13/03/2021
JEQUIE;77;BA;13/03/2021
JEREMOABO;9;BA;13/03/2021
JIQUIRICA;6;BA;13/03/2021
JOAO DOURADO;9;BA;13/03/2021
JUAZEIRO;112;BA;13/03/2021
JUSSARA;5;BA;13/03/2021
JUSSARI;1;BA;13/03/2021
LAJE;6;BA;13/03/2021
LAJEDAO;1;BA;13/03/2021
LAPAO;6;BA;13/03/2021
LAURO DE FREITAS;253;BA;13/03/2021
LENCOIS;5;BA;13/03/2021
LIVRAMENTO DE NOSSA SENHORA;9;BA;13/03/2021
LUIS EDUARDO MAGALHAES;62;BA;13/03/2021
MACAJUBA;3;BA;13/03/2021
MACARANI;1;BA;13/03/2021
MACAUBAS;6;BA;13/03/2021
MADRE DE DEUS;23;BA;13/03/2021
MAIQUINIQUE;2;BA;13/03/2021
MAIRI;1;BA;13/03/2021
MALHADA;1;BA;13/03/2021
MANOEL VITORINO;4;BA;13/03/2021
MANSIDAO;6;BA;13/03/2021
MARACAS;10;BA;13/03/2021
MARAGOGIPE;5;BA;13/03/2021
MARAU;1;BA;13/03/2021
MARCIONILIO SOUZA;1;BA;13/03/2021
MATA DE SAO JOAO;26;BA;13/03/2021
MATINA;1;BA;13/03/2021
