AMPARO DE SAO FRANCISCO;2;SE;13/03/2021
AQUIDABA;5;SE;13/03/2021
ARACAJU;633;SE;13/03/2021
AREIA BRANCA;1;SE;13/03/2021
BARRA DOS COQUEIROS;25;SE;13/03/2021
BOQUIM;2;SE;13/03/2021
BREJO GRANDE;1;SE;13/03/2021
CAMPO DO BRITO;3;SE;13/03/2021
CANINDE DE SAO FRANCISCO;4;SE;13/03/2021
CAPELA;9;SE;13/03/2021
CARIRA;8;SE;13/03/2021
CARMOPOLIS;7;SE;13/03/2021
CEDRO DE SAO JOAO;1;SE;13/03/2021
CRISTINAPOLIS;2;SE;13/03/2021
DIVINA PASTORA;4;SE;13/03/2021
ESTANCIA;35;SE;13/03/2021
FREI PAULO;7;SE;13/03/2021
GARARU;4;SE;13/03/2021
GENERAL MAYNARD;3;SE;13/03/2021
ILHA DAS FLORES;1;SE;13/03/2021
INDIAROBA;1;SE;13/03/2021
ITABAIANA;33;SE;13/03/2021
ITABAIANINHA;9;SE;13/03/2021
ITABI;1;SE;13/03/2021
ITAPORANGA D'AJUDA;22;SE;13/03/2021
JAPARATUBA;5;SE;13/03/2021
JAPOATA;4;SE;13/03/2021
LAGARTO;36;SE;13/03/2021
LARANJEIRAS;20;SE;13/03/2021
MACAMBIRA;1;SE;13/03/2021
MALHADOR;3;SE;13/03/2021
MARUIM;15;SE;13/03/2021
MOITA BONITA;2;SE;13/03/2021
MONTE ALEGRE DE SERGIPE;2;SE;13/03/2021
MURIBECA;3;SE;13/03/2021
NEOPOLIS;2;SE;13/03/2021
NOSSA SENHORA APARECIDA;2;SE;13/03/2021
NOSSA SENHORA DA GLORIA;14;SE;13/03/2021
NOSSA SENHORA DAS DORES;4;SE;13/03/2021
NOSSA SENHORA DE LOURDES;5;SE;13/03/2021
NOSSA SENHORA DO SOCORRO;77;SE;13/03/2021
PACATUBA;1;SE;13/03/2021
PEDRA MOLE;1;SE;13/03/2021
PEDRINHAS;2;SE;13/03/2021
PIRAMBU;7;SE;13/03/2021
POCO REDONDO;5;SE;13/03/2021
POCO VERDE;2;SE;13/03/2021
PORTO DA FOLHA;2;SE;13/03/2021
PROPRIA;8;SE;13/03/2021
RIACHAO DO DANTAS;7;SE;13/03/2021
RIACHUELO;4;SE;13/03/2021
RIBEIROPOLIS;8;SE;13/03/2021
ROSARIO DO CATETE;10;SE;13/03/2021
SALGADO;3;SE;13/03/2021
SANTA ROSA DE LIMA;2;SE;13/03/2021
SANTO AMARO DAS BROTAS;13;SE;13/03/2021
SAO CRISTOVAO;59;SE;13/03/2021
SAO DOMINGOS;2;SE;13/03/2021
SAO MIGUEL DO ALEIXO;3;SE;13/03/2021
SIMAO DIAS;10;SE;13/03/2021
SIRIRI;4;SE;13/03/2021
TOBIAS BARRETO;3;SE;13/03/2021
TOMAR DO GERU;4;SE;13/03/2021
UMBAUBA;9;SE;13/03/2021
