Município;Total;UF;Data
ABAIRA;2;BA;11/03/2021
ABARE;2;BA;11/03/2021
ACAJUTIBA;10;BA;11/03/2021
ADUSTINA;5;BA;11/03/2021
AGUA FRIA;3;BA;11/03/2021
ALAGOINHAS;304;BA;11/03/2021
ALCOBACA;7;BA;11/03/2021
ALMADINA;4;BA;11/03/2021
AMARGOSA;15;BA;11/03/2021
AMELIA RODRIGUES;23;BA;11/03/2021
AMERICA DOURADA;8;BA;11/03/2021
ANAGE;2;BA;11/03/2021
ANDARAI;14;BA;11/03/2021
ANDORINHA;16;BA;11/03/2021
ANGICAL;5;BA;11/03/2021
ANGUERA;3;BA;11/03/2021
ANTAS;3;BA;11/03/2021
ANTONIO CARDOSO;1;BA;11/03/2021
ANTONIO GONCALVES;4;BA;11/03/2021
APORA;7;BA;11/03/2021
APUAREMA;6;BA;11/03/2021
ARACAS;4;BA;11/03/2021
ARACATU;1;BA;11/03/2021
ARACI;21;BA;11/03/2021
ARAMARI;16;BA;11/03/2021
ARATUIPE;4;BA;11/03/2021
AURELINO LEAL;8;BA;11/03/2021
BAIANOPOLIS;14;BA;11/03/2021
BAIXA GRANDE;12;BA;11/03/2021
BANZAE;4;BA;11/03/2021
BARRA;30;BA;11/03/2021
BARRA DA ESTIVA;6;BA;11/03/2021
BARRA DO CHOCA;11;BA;11/03/2021
BARRA DO MENDES;14;BA;11/03/2021
BARRA DO ROCHA;4;BA;11/03/2021
BARREIRAS;266;BA;11/03/2021
BARRO ALTO;2;BA;11/03/2021
BARRO PRETO;5;BA;11/03/2021
BARROCAS;15;BA;11/03/2021
BELMONTE;24;BA;11/03/2021
BELO CAMPO;1;BA;11/03/2021
BIRITINGA;6;BA;11/03/2021
BOA NOVA;5;BA;11/03/2021
BOA VISTA DO TUPIM;3;BA;11/03/2021
BOM JESUS DA LAPA;92;BA;11/03/2021
BOM JESUS DA SERRA;2;BA;11/03/2021
BONINAL;5;BA;11/03/2021
BONITO;13;BA;11/03/2021
BOQUIRA;9;BA;11/03/2021
BOTUPORA;10;BA;11/03/2021
BREJOES;4;BA;11/03/2021
BREJOLANDIA;1;BA;11/03/2021
BROTAS DE MACAUBAS;5;BA;11/03/2021
BRUMADO;54;BA;11/03/2021
BUERAREMA;5;BA;11/03/2021
BURITIRAMA;7;BA;11/03/2021
CAATIBA;13;BA;11/03/2021
CABACEIRAS DO PARAGUACU;6;BA;11/03/2021
CACHOEIRA;16;BA;11/03/2021
CACULE;6;BA;11/03/2021
CAEM;6;BA;11/03/2021
CAETANOS;4;BA;11/03/2021
CAETITE;35;BA;11/03/2021
CAFARNAUM;14;BA;11/03/2021
CAIRU;9;BA;11/03/2021
CALDEIRAO GRANDE;4;BA;11/03/2021
CAMACAN;10;BA;11/03/2021
CAMACARI;646;BA;11/03/2021
CAMAMU;23;BA;11/03/2021
CAMPO ALEGRE DE LOURDES;11;BA;11/03/2021
CAMPO FORMOSO;54;BA;11/03/2021
CANAPOLIS;1;BA;11/03/2021
CANARANA;12;BA;11/03/2021
CANAVIEIRAS;23;BA;11/03/2021
CANDEIAS;187;BA;11/03/2021
CANDIBA;5;BA;11/03/2021
CANDIDO SALES;13;BA;11/03/2021
CANSANCAO;11;BA;11/03/2021
CANUDOS;11;BA;11/03/2021
CAPELA DO ALTO ALEGRE;9;BA;11/03/2021
CAPIM GROSSO;23;BA;11/03/2021
CARAVELAS;22;BA;11/03/2021
CARDEAL DA SILVA;17;BA;11/03/2021
CARINHANHA;3;BA;11/03/2021
CASA NOVA;27;BA;11/03/2021
CASTRO ALVES;18;BA;11/03/2021
CATOLANDIA;1;BA;11/03/2021
CATU;97;BA;11/03/2021
CATURAMA;1;BA;11/03/2021
CENTRAL;12;BA;11/03/2021
CHORROCHO;2;BA;11/03/2021
CICERO DANTAS;17;BA;11/03/2021
CIPO;23;BA;11/03/2021
COARACI;15;BA;11/03/2021
COCOS;5;BA;11/03/2021
CONCEICAO DA FEIRA;11;BA;11/03/2021
CONCEICAO DO ALMEIDA;10;BA;11/03/2021
CONCEICAO DO COITE;45;BA;11/03/2021
CONCEICAO DO JACUIPE;30;BA;11/03/2021
CONDE;11;BA;11/03/2021
CONDEUBA;5;BA;11/03/2021
CONTENDAS DO SINCORA;4;BA;11/03/2021
CORACAO DE MARIA;11;BA;11/03/2021
CORDEIROS;3;BA;11/03/2021
CORIBE;11;BA;11/03/2021
CORONEL JOAO SA;8;BA;11/03/2021
CORRENTINA;59;BA;11/03/2021
COTEGIPE;13;BA;11/03/2021
CRAVOLANDIA;2;BA;11/03/2021
CRISOPOLIS;5;BA;11/03/2021
CRISTOPOLIS;9;BA;11/03/2021
CRUZ DAS ALMAS;87;BA;11/03/2021
CURACA;28;BA;11/03/2021
DARIO MEIRA;5;BA;11/03/2021
DIAS D'AVILA;150;BA;11/03/2021
DOM BASILIO;4;BA;11/03/2021
ELISIO MEDRADO;3;BA;11/03/2021
ENCRUZILHADA;4;BA;11/03/2021
ENTRE RIOS;42;BA;11/03/2021
ERICO CARDOSO;5;BA;11/03/2021
ESPLANADA;33;BA;11/03/2021
EUCLIDES DA CUNHA;33;BA;11/03/2021
EUNAPOLIS;159;BA;11/03/2021
FATIMA;2;BA;11/03/2021
FEIRA DA MATA;2;BA;11/03/2021
FEIRA DE SANTANA;887;BA;11/03/2021
FILADELFIA;16;BA;11/03/2021
FLORESTA AZUL;3;BA;11/03/2021
FORMOSA DO RIO PRETO;37;BA;11/03/2021
GANDU;25;BA;11/03/2021
GENTIO DO OURO;4;BA;11/03/2021
GLORIA;10;BA;11/03/2021
GONGOGI;5;BA;11/03/2021
GOVERNADOR MANGABEIRA;15;BA;11/03/2021
GUAJERU;2;BA;11/03/2021
GUANAMBI;84;BA;11/03/2021
GUARATINGA;10;BA;11/03/2021
HELIOPOLIS;9;BA;11/03/2021
IACU;26;BA;11/03/2021
IBIASSUCE;2;BA;11/03/2021
IBICARAI;18;BA;11/03/2021
IBICOARA;9;BA;11/03/2021
IBICUI;10;BA;11/03/2021
IBIPEBA;1;BA;11/03/2021
IBIPITANGA;4;BA;11/03/2021
IBIQUERA;5;BA;11/03/2021
IBIRAPITANGA;17;BA;11/03/2021
IBIRAPUA;3;BA;11/03/2021
IBIRATAIA;15;BA;11/03/2021
IBITIARA;8;BA;11/03/2021
IBITITA;9;BA;11/03/2021
IBOTIRAMA;21;BA;11/03/2021
ICHU;4;BA;11/03/2021
IGAPORA;7;BA;11/03/2021
IGRAPIUNA;1;BA;11/03/2021
IGUAI;9;BA;11/03/2021
ILHEUS;261;BA;11/03/2021
INHAMBUPE;25;BA;11/03/2021
IPECAETA;5;BA;11/03/2021
IPIAU;67;BA;11/03/2021
IPIRA;33;BA;11/03/2021
IPUPIARA;9;BA;11/03/2021
IRAJUBA;4;BA;11/03/2021
IRAMAIA;4;BA;11/03/2021
IRAQUARA;13;BA;11/03/2021
IRARA;7;BA;11/03/2021
IRECE;89;BA;11/03/2021
ITABELA;7;BA;11/03/2021
ITABERABA;49;BA;11/03/2021
ITABUNA;258;BA;11/03/2021
ITACARE;11;BA;11/03/2021
ITAGI;8;BA;11/03/2021
ITAGIBA;9;BA;11/03/2021
ITAGIMIRIM;2;BA;11/03/2021
ITAGUACU DA BAHIA;5;BA;11/03/2021
ITAJU DO COLONIA;3;BA;11/03/2021
ITAJUIPE;8;BA;11/03/2021
ITAMARAJU;48;BA;11/03/2021
ITAMARI;8;BA;11/03/2021
ITAMBE;24;BA;11/03/2021
ITANAGRA;5;BA;11/03/2021
ITANHEM;6;BA;11/03/2021
ITAPARICA;37;BA;11/03/2021
ITAPE;10;BA;11/03/2021
ITAPEBI;15;BA;11/03/2021
ITAPETINGA;86;BA;11/03/2021
ITAPICURU;16;BA;11/03/2021
ITAPITANGA;3;BA;11/03/2021
ITAQUARA;1;BA;11/03/2021
ITARANTIM;12;BA;11/03/2021
ITATIM;4;BA;11/03/2021
ITIRUCU;2;BA;11/03/2021
ITIUBA;24;BA;11/03/2021
ITORORO;4;BA;11/03/2021
ITUACU;2;BA;11/03/2021
ITUBERA;14;BA;11/03/2021
IUIU;2;BA;11/03/2021
JABORANDI;7;BA;11/03/2021
JACOBINA;156;BA;11/03/2021
JAGUAQUARA;28;BA;11/03/2021
JAGUARARI;71;BA;11/03/2021
JAGUARIPE;4;BA;11/03/2021
JANDAIRA;4;BA;11/03/2021
JEQUIE;264;BA;11/03/2021
JEREMOABO;30;BA;11/03/2021
JIQUIRICA;7;BA;11/03/2021
JITAUNA;7;BA;11/03/2021
JOAO DOURADO;8;BA;11/03/2021
JUAZEIRO;291;BA;11/03/2021
JUCURUCU;4;BA;11/03/2021
JUSSARA;13;BA;11/03/2021
JUSSARI;5;BA;11/03/2021
JUSSIAPE;2;BA;11/03/2021
LAFAIETE COUTINHO;1;BA;11/03/2021
LAGEDO DO TABOCAL;3;BA;11/03/2021
LAGOA REAL;2;BA;11/03/2021
LAJE;10;BA;11/03/2021
LAJEDAO;2;BA;11/03/2021
LAJEDINHO;2;BA;11/03/2021
LAMARAO;1;BA;11/03/2021
LAPAO;26;BA;11/03/2021
LAURO DE FREITAS;428;BA;11/03/2021
LENCOIS;6;BA;11/03/2021
LICINIO DE ALMEIDA;11;BA;11/03/2021
LIVRAMENTO DE NOSSA SENHORA;58;BA;11/03/2021
LUIS EDUARDO MAGALHAES;132;BA;11/03/2021
MACAJUBA;8;BA;11/03/2021
MACARANI;4;BA;11/03/2021
MACAUBAS;27;BA;11/03/2021
MADRE DE DEUS;37;BA;11/03/2021
MAIQUINIQUE;2;BA;11/03/2021
MAIRI;3;BA;11/03/2021
MALHADA;2;BA;11/03/2021
MALHADA DE PEDRAS;2;BA;11/03/2021
MANOEL VITORINO;18;BA;11/03/2021
MANSIDAO;3;BA;11/03/2021
MARACAS;52;BA;11/03/2021
MARAGOGIPE;29;BA;11/03/2021
MARAU;5;BA;11/03/2021
MARCIONILIO SOUZA;5;BA;11/03/2021
MASCOTE;5;BA;11/03/2021
MATA DE SAO JOAO;56;BA;11/03/2021
MATINA;3;BA;11/03/2021
MEDEIROS NETO;53;BA;11/03/2021
MIGUEL CALMON;8;BA;11/03/2021
MILAGRES;4;BA;11/03/2021
MIRANGABA;1;BA;11/03/2021
MIRANTE;3;BA;11/03/2021
