Município;Total;UF;Data
ACAJUTIBA;1;BA;14/03/2021
ALAGOINHAS;119;BA;14/03/2021
ALMADINA;2;BA;14/03/2021
AMARGOSA;8;BA;14/03/2021
AMELIA RODRIGUES;11;BA;14/03/2021
AMERICA DOURADA;5;BA;14/03/2021
ANAGE;3;BA;14/03/2021
ANDARAI;2;BA;14/03/2021
ANDORINHA;3;BA;14/03/2021
ANGICAL;4;BA;14/03/2021
ANGUERA;1;BA;14/03/2021
ANTONIO CARDOSO;1;BA;14/03/2021
ANTONIO GONCALVES;2;BA;14/03/2021
APORA;3;BA;14/03/2021
ARACAS;5;BA;14/03/2021
ARACI;14;BA;14/03/2021
ARAMARI;1;BA;14/03/2021
BAIANOPOLIS;3;BA;14/03/2021
BAIXA GRANDE;3;BA;14/03/2021
BARRA;2;BA;14/03/2021
BARRA DO CHOCA;2;BA;14/03/2021
BARREIRAS;80;BA;14/03/2021
BARROCAS;2;BA;14/03/2021
BELMONTE;7;BA;14/03/2021
BELO CAMPO;1;BA;14/03/2021
BIRITINGA;4;BA;14/03/2021
BOA NOVA;3;BA;14/03/2021
BOA VISTA DO TUPIM;3;BA;14/03/2021
BOM JESUS DA LAPA;10;BA;14/03/2021
BOM JESUS DA SERRA;1;BA;14/03/2021
BONITO;2;BA;14/03/2021
BOQUIRA;2;BA;14/03/2021
BOTUPORA;1;BA;14/03/2021
BREJOES;2;BA;14/03/2021
BREJOLANDIA;1;BA;14/03/2021
BRUMADO;16;BA;14/03/2021
BUERAREMA;6;BA;14/03/2021
BURITIRAMA;3;BA;14/03/2021
CACHOEIRA;11;BA;14/03/2021
CACULE;1;BA;14/03/2021
CAEM;4;BA;14/03/2021
CAETANOS;1;BA;14/03/2021
CAETITE;8;BA;14/03/2021
CAFARNAUM;3;BA;14/03/2021
CAIRU;2;BA;14/03/2021
CALDEIRAO GRANDE;1;BA;14/03/2021
CAMACAN;5;BA;14/03/2021
CAMACARI;312;BA;14/03/2021
CAMAMU;2;BA;14/03/2021
CAMPO ALEGRE DE LOURDES;3;BA;14/03/2021
CAMPO FORMOSO;13;BA;14/03/2021
CANARANA;1;BA;14/03/2021
CANAVIEIRAS;6;BA;14/03/2021
CANDEAL;1;BA;14/03/2021
CANDEIAS;76;BA;14/03/2021
CANDIBA;1;BA;14/03/2021
CANSANCAO;2;BA;14/03/2021
CANUDOS;2;BA;14/03/2021
CAPELA DO ALTO ALEGRE;5;BA;14/03/2021
CAPIM GROSSO;5;BA;14/03/2021
CARAIBAS;8;BA;14/03/2021
CARAVELAS;8;BA;14/03/2021
CARDEAL DA SILVA;1;BA;14/03/2021
CARINHANHA;2;BA;14/03/2021
CASA NOVA;6;BA;14/03/2021
CASTRO ALVES;4;BA;14/03/2021
CATOLANDIA;1;BA;14/03/2021
CATU;68;BA;14/03/2021
CATURAMA;2;BA;14/03/2021
CENTRAL;4;BA;14/03/2021
CICERO DANTAS;4;BA;14/03/2021
CIPO;2;BA;14/03/2021
COARACI;3;BA;14/03/2021
COCOS;8;BA;14/03/2021
CONCEICAO DA FEIRA;6;BA;14/03/2021
CONCEICAO DO ALMEIDA;4;BA;14/03/2021
CONCEICAO DO COITE;19;BA;14/03/2021
CONCEICAO DO JACUIPE;19;BA;14/03/2021
CONDE;5;BA;14/03/2021
CONDEUBA;2;BA;14/03/2021
CORACAO DE MARIA;4;BA;14/03/2021
CORDEIROS;1;BA;14/03/2021
CORIBE;1;BA;14/03/2021
CORRENTINA;6;BA;14/03/2021
COTEGIPE;1;BA;14/03/2021
CRAVOLANDIA;3;BA;14/03/2021
CRISTOPOLIS;3;BA;14/03/2021
CRUZ DAS ALMAS;23;BA;14/03/2021
CURACA;6;BA;14/03/2021
DARIO MEIRA;1;BA;14/03/2021
DIAS D'AVILA;74;BA;14/03/2021
DOM BASILIO;3;BA;14/03/2021
DOM MACEDO COSTA;1;BA;14/03/2021
ENTRE RIOS;10;BA;14/03/2021
ERICO CARDOSO;1;BA;14/03/2021
ESPLANADA;1;BA;14/03/2021
EUCLIDES DA CUNHA;7;BA;14/03/2021
EUNAPOLIS;44;BA;14/03/2021
FEIRA DE SANTANA;333;BA;14/03/2021
FILADELFIA;1;BA;14/03/2021
FIRMINO ALVES;2;BA;14/03/2021
FLORESTA AZUL;3;BA;14/03/2021
FORMOSA DO RIO PRETO;8;BA;14/03/2021
GANDU;5;BA;14/03/2021
GENTIO DO OURO;1;BA;14/03/2021
GLORIA;15;BA;14/03/2021
GOVERNADOR MANGABEIRA;7;BA;14/03/2021
GUAJERU;2;BA;14/03/2021
GUANAMBI;25;BA;14/03/2021
GUARATINGA;1;BA;14/03/2021
HELIOPOLIS;2;BA;14/03/2021
IACU;4;BA;14/03/2021
IBICARAI;6;BA;14/03/2021
IBICOARA;4;BA;14/03/2021
IBICUI;2;BA;14/03/2021
IBIPEBA;1;BA;14/03/2021
IBIRAPUA;29;BA;14/03/2021
IBIRATAIA;2;BA;14/03/2021
IBITIARA;4;BA;14/03/2021
IBOTIRAMA;15;BA;14/03/2021
ICHU;2;BA;14/03/2021
IGUAI;3;BA;14/03/2021
ILHEUS;102;BA;14/03/2021
IPIAU;21;BA;14/03/2021
IPIRA;5;BA;14/03/2021
IRAMAIA;1;BA;14/03/2021
IRARA;13;BA;14/03/2021
IRECE;18;BA;14/03/2021
ITABELA;9;BA;14/03/2021
ITABERABA;13;BA;14/03/2021
ITABUNA;81;BA;14/03/2021
ITACARE;3;BA;14/03/2021
ITAETE;1;BA;14/03/2021
ITAGI;2;BA;14/03/2021
ITAGIBA;6;BA;14/03/2021
ITAGIMIRIM;1;BA;14/03/2021
ITAJUIPE;4;BA;14/03/2021
ITAMARAJU;8;BA;14/03/2021
ITAMARI;1;BA;14/03/2021
ITAPARICA;7;BA;14/03/2021
ITAPEBI;3;BA;14/03/2021
ITAPETINGA;27;BA;14/03/2021
ITARANTIM;2;BA;14/03/2021
ITIRUCU;1;BA;14/03/2021
ITIUBA;2;BA;14/03/2021
ITORORO;6;BA;14/03/2021
ITUACU;1;BA;14/03/2021
ITUBERA;8;BA;14/03/2021
IUIU;13;BA;14/03/2021
JABORANDI;4;BA;14/03/2021
JACARACI;2;BA;14/03/2021
JACOBINA;55;BA;14/03/2021
JAGUAQUARA;2;BA;14/03/2021
JAGUARARI;10;BA;14/03/2021
JEQUIE;70;BA;14/03/2021
JEREMOABO;3;BA;14/03/2021
JIQUIRICA;1;BA;14/03/2021
JITAUNA;5;BA;14/03/2021
JOAO DOURADO;2;BA;14/03/2021
JUAZEIRO;62;BA;14/03/2021
LAFAIETE COUTINHO;1;BA;14/03/2021
LAGOA REAL;1;BA;14/03/2021
LAJE;1;BA;14/03/2021
LAJEDAO;3;BA;14/03/2021
LAMARAO;1;BA;14/03/2021
LAPAO;2;BA;14/03/2021
LAURO DE FREITAS;252;BA;14/03/2021
LENCOIS;1;BA;14/03/2021
LICINIO DE ALMEIDA;1;BA;14/03/2021
LIVRAMENTO DE NOSSA SENHORA;3;BA;14/03/2021
LUIS EDUARDO MAGALHAES;39;BA;14/03/2021
MACAJUBA;1;BA;14/03/2021
MACARANI;2;BA;14/03/2021
MACAUBAS;18;BA;14/03/2021
MADRE DE DEUS;15;BA;14/03/2021
MALHADA DE PEDRAS;1;BA;14/03/2021
MANOEL VITORINO;2;BA;14/03/2021
MARACAS;9;BA;14/03/2021
MARAGOGIPE;10;BA;14/03/2021
MARAU;3;BA;14/03/2021
MATA DE SAO JOAO;19;BA;14/03/2021
MATINA;4;BA;14/03/2021
MEDEIROS NETO;6;BA;14/03/2021
MIGUEL CALMON;3;BA;14/03/2021
MIRANGABA;3;BA;14/03/2021
MIRANTE;1;BA;14/03/2021
MONTE SANTO;6;BA;14/03/2021
MORRO DO CHAPEU;1;BA;14/03/2021
MUCUGE;1;BA;14/03/2021
MUCURI;25;BA;14/03/2021
MUNDO NOVO;1;BA;14/03/2021
MUNIZ FERREIRA;1;BA;14/03/2021
MURITIBA;9;BA;14/03/2021
MUTUIPE;2;BA;14/03/2021
NAZARE;6;BA;14/03/2021
NORDESTINA;16;BA;14/03/2021
NOVA IBIA;3;BA;14/03/2021
NOVA SOURE;4;BA;14/03/2021
NOVA VICOSA;25;BA;14/03/2021
NOVO HORIZONTE;1;BA;14/03/2021
OLINDINA;11;BA;14/03/2021
OLIVEIRA DOS BREJINHOS;9;BA;14/03/2021
OURICANGAS;6;BA;14/03/2021
PALMAS DE MONTE ALTO;1;BA;14/03/2021
PALMEIRAS;1;BA;14/03/2021
PARAMIRIM;14;BA;14/03/2021
PARATINGA;5;BA;14/03/2021
PARIPIRANGA;3;BA;14/03/2021
PAU BRASIL;1;BA;14/03/2021
PAULO AFONSO;61;BA;14/03/2021
PE DE SERRA;1;BA;14/03/2021
PEDRO ALEXANDRE;3;BA;14/03/2021
PINDAI;3;BA;14/03/2021
PINDOBACU;7;BA;14/03/2021
PLANALTINO;1;BA;14/03/2021
POCOES;13;BA;14/03/2021
POJUCA;61;BA;14/03/2021
PONTO NOVO;2;BA;14/03/2021
PORTO SEGURO;28;BA;14/03/2021
PRADO;4;BA;14/03/2021
PRESIDENTE JANIO QUADROS;1;BA;14/03/2021
PRESIDENTE TANCREDO NEVES;7;BA;14/03/2021
QUEIMADAS;6;BA;14/03/2021
QUIXABEIRA;3;BA;14/03/2021
RAFAEL JAMBEIRO;2;BA;14/03/2021
REMANSO;1;BA;14/03/2021
RETIROLANDIA;1;BA;14/03/2021
RIACHAO DAS NEVES;7;BA;14/03/2021
RIACHAO DO JACUIPE;12;BA;14/03/2021
RIACHO DE SANTANA;2;BA;14/03/2021
RIBEIRA DO AMPARO;3;BA;14/03/2021
RIBEIRA DO POMBAL;7;BA;14/03/2021
RIBEIRAO DO LARGO;12;BA;14/03/2021
RIO DE CONTAS;3;BA;14/03/2021
RIO DO PIRES;1;BA;14/03/2021
RIO REAL;1;BA;14/03/2021
RUY BARBOSA;4;BA;14/03/2021
SALINAS DA MARGARIDA;6;BA;14/03/2021
SALVADOR;2525;BA;14/03/2021
SANTA BARBARA;2;BA;14/03/2021
SANTA BRIGIDA;1;BA;14/03/2021
SANTA CRUZ CABRALIA;10;BA;14/03/2021
SANTA INES;2;BA;14/03/2021
SANTA RITA DE CASSIA;8;BA;14/03/2021
SANTA TERESINHA;3;BA;14/03/2021
SANTALUZ;4;BA;14/03/2021
SANTANA;1;BA;14/03/2021
SANTO AMARO;23;BA;14/03/2021
SANTO ANTONIO DE JESUS;41;BA;14/03/2021
SANTO ESTEVAO;8;BA;14/03/2021
SAO DESIDERIO;11;BA;14/03/2021
SAO DOMINGOS;2;BA;14/03/2021
SAO FELIPE;2;BA;14/03/2021
SAO FELIX;1;BA;14/03/2021
SAO FELIX DO CORIBE;1;BA;14/03/2021
SAO FRANCISCO DO CONDE;51;BA;14/03/2021
SAO GABRIEL;1;BA;14/03/2021
SAO GONCALO DOS CAMPOS;6;BA;14/03/2021
SAO JOSE DA VITORIA;2;BA;14/03/2021
SAO JOSE DO JACUIPE;1;BA;14/03/2021
SAO SEBASTIAO DO PASSE;27;BA;14/03/2021
SATIRO DIAS;1;BA;14/03/2021
SAUDE;3;BA;14/03/2021
SEABRA;10;BA;14/03/2021
SEBASTIAO LARANJEIRAS;1;BA;14/03/2021
SENHOR DO BONFIM;31;BA;14/03/2021
SENTO SE;9;BA;14/03/2021
SERRA DO RAMALHO;1;BA;14/03/2021
SERRA DOURADA;3;BA;14/03/2021
SERRA PRETA;2;BA;14/03/2021
SERRINHA;26;BA;14/03/2021
SERROLANDIA;1;BA;14/03/2021
SIMOES FILHO;79;BA;14/03/2021
SITIO DO QUINTO;1;BA;14/03/2021
SOBRADINHO;13;BA;14/03/2021
TAPEROA;3;BA;14/03/2021
TEIXEIRA DE FREITAS;70;BA;14/03/2021
TEODORO SAMPAIO;3;BA;14/03/2021
TEOFILANDIA;6;BA;14/03/2021
TERRA NOVA;5;BA;14/03/2021
TUCANO;1;BA;14/03/2021
UAUA;3;BA;14/03/2021
UBAIRA;1;BA;14/03/2021
UBAITABA;1;BA;14/03/2021
UIBAI;3;BA;14/03/2021
UMBURANAS;2;BA;14/03/2021
UNA;3;BA;14/03/2021
URUCUCA;11;BA;14/03/2021
UTINGA;2;BA;14/03/2021
VALENCA;30;BA;14/03/2021
VALENTE;1;BA;14/03/2021
VARZEA DA ROCA;4;BA;14/03/2021
VARZEA DO POCO;1;BA;14/03/2021
VARZEDO;1;BA;14/03/2021
VERA CRUZ;7;BA;14/03/2021
VEREDA;1;BA;14/03/2021
VITORIA DA CONQUISTA;121;BA;14/03/2021
XIQUE-XIQUE;2;BA;14/03/2021
AMPARO DE SAO FRANCISCO;1;SE;14/03/2021
AQUIDABA;3;SE;14/03/2021
ARACAJU;574;SE;14/03/2021
AREIA BRANCA;1;SE;14/03/2021
BARRA DOS COQUEIROS;12;SE;14/03/2021
BOQUIM;10;SE;14/03/2021
CAMPO DO BRITO;1;SE;14/03/2021
CANHOBA;1;SE;14/03/2021
CANINDE DE SAO FRANCISCO;5;SE;14/03/2021
CAPELA;9;SE;14/03/2021
CARMOPOLIS;14;SE;14/03/2021
CEDRO DE SAO JOAO;9;SE;14/03/2021
CRISTINAPOLIS;4;SE;14/03/2021
CUMBE;1;SE;14/03/2021
ESTANCIA;24;SE;14/03/2021
FEIRA NOVA;2;SE;14/03/2021
GARARU;3;SE;14/03/2021
GENERAL MAYNARD;3;SE;14/03/2021
ILHA DAS FLORES;2;SE;14/03/2021
INDIAROBA;4;SE;14/03/2021
ITABAIANA;31;SE;14/03/2021
ITABAIANINHA;2;SE;14/03/2021
ITAPORANGA D'AJUDA;8;SE;14/03/2021
JAPARATUBA;7;SE;14/03/2021
JAPOATA;1;SE;14/03/2021
LAGARTO;34;SE;14/03/2021
LARANJEIRAS;5;SE;14/03/2021
MACAMBIRA;1;SE;14/03/2021
MALHADA DOS BOIS;3;SE;14/03/2021
MALHADOR;2;SE;14/03/2021
MARUIM;6;SE;14/03/2021
MOITA BONITA;1;SE;14/03/2021
MONTE ALEGRE DE SERGIPE;2;SE;14/03/2021
MURIBECA;9;SE;14/03/2021
NEOPOLIS;3;SE;14/03/2021
NOSSA SENHORA DA GLORIA;12;SE;14/03/2021
NOSSA SENHORA DAS DORES;7;SE;14/03/2021
NOSSA SENHORA DE LOURDES;10;SE;14/03/2021
NOSSA SENHORA DO SOCORRO;70;SE;14/03/2021
PACATUBA;6;SE;14/03/2021
PEDRINHAS;4;SE;14/03/2021
PINHAO;2;SE;14/03/2021
