Município;Total;UF;Data
ASSIS BRASIL;6;AC;14/03/2021
BRASILEIA;13;AC;14/03/2021
BUJARI;2;AC;14/03/2021
CAPIXABA;1;AC;14/03/2021
CRUZEIRO DO SUL;60;AC;14/03/2021
EPITACIOLANDIA;9;AC;14/03/2021
FEIJO;5;AC;14/03/2021
MANCIO LIMA;3;AC;14/03/2021
MARECHAL THAUMATURGO;1;AC;14/03/2021
PLACIDO DE CASTRO;20;AC;14/03/2021
PORTO ACRE;3;AC;14/03/2021
RIO BRANCO;349;AC;14/03/2021
RODRIGUES ALVES;6;AC;14/03/2021
SENA MADUREIRA;9;AC;14/03/2021
SENADOR GUIOMARD;9;AC;14/03/2021
TARAUACA;4;AC;14/03/2021
XAPURI;2;AC;14/03/2021
AGUA BRANCA;10;AL;14/03/2021
ANADIA;9;AL;14/03/2021
ARAPIRACA;68;AL;14/03/2021
ATALAIA;1;AL;14/03/2021
BARRA DE SANTO ANTONIO;2;AL;14/03/2021
BARRA DE SAO MIGUEL;2;AL;14/03/2021
BOCA DA MATA;9;AL;14/03/2021
CACIMBINHAS;1;AL;14/03/2021
CAJUEIRO;2;AL;14/03/2021
CAMPESTRE;2;AL;14/03/2021
CARNEIROS;8;AL;14/03/2021
COLONIA LEOPOLDINA;1;AL;14/03/2021
COQUEIRO SECO;1;AL;14/03/2021
CORURIPE;31;AL;14/03/2021
CRAIBAS;2;AL;14/03/2021
DELMIRO GOUVEIA;25;AL;14/03/2021
DOIS RIACHOS;2;AL;14/03/2021
GIRAU DO PONCIANO;6;AL;14/03/2021
IBATEGUARA;12;AL;14/03/2021
IGREJA NOVA;4;AL;14/03/2021
INHAPI;13;AL;14/03/2021
JACUIPE;1;AL;14/03/2021
JAPARATINGA;1;AL;14/03/2021
JOAQUIM GOMES;2;AL;14/03/2021
JUNQUEIRO;6;AL;14/03/2021
LIMOEIRO DE ANADIA;1;AL;14/03/2021
MACEIO;641;AL;14/03/2021
MAJOR ISIDORO;2;AL;14/03/2021
MARAGOGI;2;AL;14/03/2021
MARECHAL DEODORO;35;AL;14/03/2021
MATA GRANDE;1;AL;14/03/2021
MATRIZ DE CAMARAGIBE;8;AL;14/03/2021
MESSIAS;3;AL;14/03/2021
MURICI;2;AL;14/03/2021
NOVO LINO;3;AL;14/03/2021
OLHO D'AGUA DO CASADO;1;AL;14/03/2021
OLHO D'AGUA GRANDE;2;AL;14/03/2021
OLIVENCA;2;AL;14/03/2021
OURO BRANCO;1;AL;14/03/2021
PALMEIRA DOS INDIOS;23;AL;14/03/2021
PAO DE ACUCAR;7;AL;14/03/2021
PARIPUEIRA;5;AL;14/03/2021
PENEDO;23;AL;14/03/2021
PIACABUCU;4;AL;14/03/2021
PILAR;12;AL;14/03/2021
PINDOBA;1;AL;14/03/2021
PIRANHAS;9;AL;14/03/2021
PORTO CALVO;5;AL;14/03/2021
PORTO DE PEDRAS;1;AL;14/03/2021
PORTO REAL DO COLEGIO;1;AL;14/03/2021
RIO LARGO;25;AL;14/03/2021
SANTA LUZIA DO NORTE;6;AL;14/03/2021
SANTANA DO IPANEMA;5;AL;14/03/2021
SANTANA DO MUNDAU;7;AL;14/03/2021
SAO BRAS;1;AL;14/03/2021
SAO JOSE DA LAJE;5;AL;14/03/2021
SAO JOSE DA TAPERA;3;AL;14/03/2021
SAO LUIS DO QUITUNDE;8;AL;14/03/2021
SAO MIGUEL DOS CAMPOS;28;AL;14/03/2021
SAO MIGUEL DOS MILAGRES;3;AL;14/03/2021
SAO SEBASTIAO;1;AL;14/03/2021
SATUBA;11;AL;14/03/2021
TAQUARANA;2;AL;14/03/2021
TEOTONIO VILELA;6;AL;14/03/2021
TRAIPU;1;AL;14/03/2021
UNIAO DOS PALMARES;20;AL;14/03/2021
VICOSA;4;AL;14/03/2021
ANORI;4;AM;14/03/2021
ATALAIA DO NORTE;2;AM;14/03/2021
AUTAZES;3;AM;14/03/2021
BARCELOS;3;AM;14/03/2021
BARREIRINHA;1;AM;14/03/2021
BENJAMIN CONSTANT;3;AM;14/03/2021
BERURI;2;AM;14/03/2021
BOCA DO ACRE;2;AM;14/03/2021
CAAPIRANGA;1;AM;14/03/2021
CANUTAMA;1;AM;14/03/2021
CARAUARI;2;AM;14/03/2021
CAREIRO;1;AM;14/03/2021
CAREIRO DA VARZEA;3;AM;14/03/2021
COARI;11;AM;14/03/2021
CODAJAS;1;AM;14/03/2021
EIRUNEPE;7;AM;14/03/2021
ENVIRA;52;AM;14/03/2021
FONTE BOA;1;AM;14/03/2021
HUMAITA;35;AM;14/03/2021
IPIXUNA;1;AM;14/03/2021
IRANDUBA;14;AM;14/03/2021
ITACOATIARA;32;AM;14/03/2021
JAPURA;1;AM;14/03/2021
JURUA;5;AM;14/03/2021
JUTAI;1;AM;14/03/2021
MANACAPURU;22;AM;14/03/2021
MANAUS;2158;AM;14/03/2021
MANICORE;7;AM;14/03/2021
MAUES;6;AM;14/03/2021
NHAMUNDA;1;AM;14/03/2021
NOVA OLINDA DO NORTE;1;AM;14/03/2021
NOVO ARIPUANA;1;AM;14/03/2021
PARINTINS;7;AM;14/03/2021
PAUINI;4;AM;14/03/2021
PRESIDENTE FIGUEIREDO;12;AM;14/03/2021
RIO PRETO DA EVA;6;AM;14/03/2021
SANTO ANTONIO DO ICA;1;AM;14/03/2021
