Município;Total;UF;Data
ABAIRA;2;BA;21/03/2021
ABARE;3;BA;21/03/2021
ACAJUTIBA;2;BA;21/03/2021
AGUA FRIA;2;BA;21/03/2021
AIQUARA;1;BA;21/03/2021
ALAGOINHAS;72;BA;21/03/2021
ALCOBACA;1;BA;21/03/2021
AMARGOSA;2;BA;21/03/2021
AMELIA RODRIGUES;10;BA;21/03/2021
AMERICA DOURADA;1;BA;21/03/2021
ANDARAI;1;BA;21/03/2021
ANDORINHA;7;BA;21/03/2021
ANGICAL;3;BA;21/03/2021
ANGUERA;2;BA;21/03/2021
ANTONIO CARDOSO;1;BA;21/03/2021
ANTONIO GONCALVES;2;BA;21/03/2021
ARACAS;3;BA;21/03/2021
ARACI;1;BA;21/03/2021
ARAMARI;4;BA;21/03/2021
ARATUIPE;1;BA;21/03/2021
AURELINO LEAL;2;BA;21/03/2021
BAIANOPOLIS;2;BA;21/03/2021
BARRA;4;BA;21/03/2021
BARRA DA ESTIVA;1;BA;21/03/2021
BARRA DO CHOCA;5;BA;21/03/2021
BARRA DO ROCHA;1;BA;21/03/2021
BARREIRAS;89;BA;21/03/2021
BARROCAS;6;BA;21/03/2021
BELMONTE;4;BA;21/03/2021
BELO CAMPO;4;BA;21/03/2021
BIRITINGA;1;BA;21/03/2021
BOA NOVA;6;BA;21/03/2021
BOA VISTA DO TUPIM;1;BA;21/03/2021
BOM JESUS DA LAPA;21;BA;21/03/2021
BOM JESUS DA SERRA;1;BA;21/03/2021
BONINAL;2;BA;21/03/2021
BONITO;3;BA;21/03/2021
BOQUIRA;7;BA;21/03/2021
BOTUPORA;2;BA;21/03/2021
BREJOES;1;BA;21/03/2021
BRUMADO;17;BA;21/03/2021
BUERAREMA;2;BA;21/03/2021
CACHOEIRA;14;BA;21/03/2021
CAEM;3;BA;21/03/2021
CAETANOS;5;BA;21/03/2021
CAETITE;10;BA;21/03/2021
CAFARNAUM;17;BA;21/03/2021
CALDEIRAO GRANDE;3;BA;21/03/2021
CAMACAN;3;BA;21/03/2021
CAMACARI;252;BA;21/03/2021
CAMAMU;3;BA;21/03/2021
CAMPO ALEGRE DE LOURDES;1;BA;21/03/2021
CAMPO FORMOSO;11;BA;21/03/2021
CANARANA;7;BA;21/03/2021
CANAVIEIRAS;1;BA;21/03/2021
CANDEAL;2;BA;21/03/2021
CANDEIAS;79;BA;21/03/2021
CANDIBA;1;BA;21/03/2021
CANDIDO SALES;1;BA;21/03/2021
CANSANCAO;1;BA;21/03/2021
CAPELA DO ALTO ALEGRE;5;BA;21/03/2021
CAPIM GROSSO;1;BA;21/03/2021
CARAVELAS;3;BA;21/03/2021
CARDEAL DA SILVA;1;BA;21/03/2021
CARINHANHA;1;BA;21/03/2021
CASA NOVA;4;BA;21/03/2021
CASTRO ALVES;4;BA;21/03/2021
CATU;37;BA;21/03/2021
CICERO DANTAS;4;BA;21/03/2021
CIPO;1;BA;21/03/2021
COARACI;6;BA;21/03/2021
COCOS;5;BA;21/03/2021
CONCEICAO DA FEIRA;12;BA;21/03/2021
CONCEICAO DO COITE;12;BA;21/03/2021
CONCEICAO DO JACUIPE;7;BA;21/03/2021
CONDE;7;BA;21/03/2021
CONDEUBA;3;BA;21/03/2021
CONTENDAS DO SINCORA;1;BA;21/03/2021
CORACAO DE MARIA;2;BA;21/03/2021
CORRENTINA;3;BA;21/03/2021
CRISOPOLIS;3;BA;21/03/2021
CRISTOPOLIS;4;BA;21/03/2021
CRUZ DAS ALMAS;14;BA;21/03/2021
CURACA;7;BA;21/03/2021
DARIO MEIRA;4;BA;21/03/2021
